,rf_eer,knn_eer,svm_eer
100,0.0,0.003118503118503091,0.060652831929427664
101,0.0,0.002081165452653466,0.018730489073881362
102,0.0,0.0025693730729701714,0.010277492291880796
103,0.0,0.002582644628099151,0.003615702479338845
104,0.0,0.007668711656441729,0.008179959100204526
105,0.0005186721991701226,0.009854771784232386,0.015041493775933612
200,0.0005144032921810537,0.008230452674897137,0.02109053497942387
201,0.0,0.006295907660020972,0.019412381951731394
202,0.0,0.005693581780538304,0.0036231884057971175
203,0.0,0.0056122448979591955,0.03952233067139899
300,0.0005208333333333592,0.005208333333333315,0.02395833333333336
301,0.0,0.009424083769633496,0.06544502617801046
302,0.0,0.01306165099268547,0.015673981191222597
303,0.0010330578512396937,0.005165289256198358,0.011880165289256173
400,0.0005197505197505059,0.009355509355509328,0.028586278586278602
401,0.0,0.002085505735140769,0.0046923879040667305
402,0.0,0.0010204081632653184,0.05134575569358179
403,0.0005208333333333592,0.006770833333333337,0.016666666666666663
404,0.0,0.013831967213114749,0.0435661640693517
500,0.0,0.00782881002087682,0.019832985386221302
501,0.0,0.007306889352818369,0.012004175365344483
502,0.0,0.004094165813715467,0.0092118730808598
503,0.0005208333333333592,0.005208333333333315,0.025000000000000022
600,0.0,0.0015527950310558758,0.006211180124223614
601,0.0,0.005741127348643016,0.0177453027139875
602,0.0,0.0015290519877675934,0.012232415902140692
603,0.0,0.005747126436781602,0.005747126436781602
604,0.0,0.0035750766087844776,0.015832482124616964
605,0.0,0.007692307692307665,0.020000000000000018
700,0.0,0.008863399374348269,0.027111574556830054
701,0.0,0.010362694300518116,0.04818652849740934
702,0.0,0.00512820512820511,0.01589743589743592
800,0.0,0.006784968684759918,0.0031315240083507057
801,0.0,0.004136504653567741,0.005170630816959676
802,0.0,0.00512820512820511,0.010769230769230753
900,0.0,0.006756756756756743,0.018191268191268206
1000,0.0,0.0067148760330578705,0.025227778199004198
1001,0.0,0.002072538860103612,0.020535300560259494
1002,0.0,0.009193054136874379,0.01486373808703093
1003,0.0,0.005235602094240843,0.018324607329842924
1004,0.0005197505197505059,0.01299376299376298,0.0840084297531106
1100,0.0,0.00987525987525989,0.020270270270270285
1101,0.0005117707267144334,0.010747185261003045,0.01740020470829068
1103,0.0,0.007253886010362698,0.02849740932642486
1104,0.0,0.006799163179916301,0.002615062761506304
1105,0.0005202913631633943,0.00572320499479706,0.006243496357960454
1200,0.0,0.006784968684759918,0.005219206680584565
1201,0.0,0.001538461538461544,0.009230769230769209
1203,0.0,0.004175365344467663,0.023782413327462795
1204,0.0,0.007253886010362698,0.020207253886010357
1300,0.0,0.00723140495867769,0.006198347107437996
1301,0.0005117707267144334,0.0015353121801433,0.0035823950870010335
1302,0.0,0.0046923879040667305,0.011991657977059422
1303,0.0,0.007284079084287187,0.059429596363437205
