,classe,eer,auc
100,100.0,0.020241342729408196,0.9797586572705917
101,101.0,0.004702194357366796,0.9952978056426331
102,102.0,0.007716049382716028,0.992283950617284
103,103.0,0.02365930599369087,0.9763406940063091
104,104.0,0.010736196319018398,0.9892638036809815
105,105.0,0.025835866261398166,0.9741641337386018
200,200.0,0.018633540372670787,0.9813664596273293
201,201.0,0.009168750473592483,0.9908312495264074
202,202.0,0.0031152647975077885,0.9968847352024922
203,203.0,0.00801282051282054,0.9919871794871795
300,300.0,0.064873417721519,0.935126582278481
301,301.0,0.03448275862068967,0.9655172413793103
302,302.0,0.009493670886075944,0.990506329113924
303,303.0,0.02180685358255452,0.9781931464174455
400,400.0,0.022151898734177222,0.9778481012658228
401,401.0,0.004702194357366796,0.9952978056426331
402,402.0,0.07451411075612356,0.9254858892438764
403,403.0,0.020249221183800625,0.9797507788161994
404,404.0,0.024691358024691357,0.9753086419753086
500,500.0,0.028141113133151346,0.9718588868668486
501,501.0,0.018927444794952675,0.9810725552050473
502,502.0,0.012345679012345678,0.9876543209876543
503,503.0,0.02044025157232704,0.979559748427673
600,600.0,0.0078125,0.9921875
601,601.0,0.01898734177215189,0.9810126582278481
602,602.0,0.013975155279503104,0.9860248447204969
603,603.0,0.0,1.0
604,604.0,0.02617758784425449,0.9738224121557455
605,605.0,0.041666666666666685,0.9583333333333333
700,700.0,0.04088050314465408,0.9591194968553459
701,701.0,0.023584905660377353,0.9764150943396226
702,702.0,0.009230769230769209,0.9907692307692308
800,800.0,0.029211184360081834,0.9707888156399181
801,801.0,0.017045454545454558,0.9829545454545455
802,802.0,0.027522935779816515,0.9724770642201834
900,900.0,0.004687500000000011,0.9953125
1000,1000.0,0.02365930599369087,0.9763406940063091
1001,1001.0,0.012461059190031154,0.9875389408099688
1002,1002.0,0.013719512195121963,0.9862804878048781
1003,1003.0,0.03930817610062892,0.9606918238993711
1004,1004.0,0.05434782608695654,0.9456521739130435
1100,1100.0,0.040184110087225014,0.959815889912775
1101,1101.0,0.021739130434782594,0.9782608695652174
1103,1103.0,0.08371936605375094,0.916280633946249
1104,1104.0,0.026898734177215167,0.9731012658227849
1105,1105.0,0.004702194357366796,0.9952978056426331
1200,1200.0,0.015656967492611956,0.9843430325073881
1201,1201.0,0.0030674846625766694,0.9969325153374233
1203,1203.0,0.06361458106431545,0.9363854189356845
1204,1204.0,0.006249999999999978,0.99375
1300,1300.0,0.014062499999999978,0.9859375
1301,1301.0,0.006116207951070318,0.9938837920489296
1302,1302.0,0.02711665277040857,0.9728833472295915
1303,1303.0,0.03154574132492116,0.9684542586750788
AVG,-->,0.02291839551493276,0.9770816044850671
