,rf_eer,knn_eer,svm_eer
1,0.0002392344497607668,0.017662337662337664,0.0
2,0.002149692412850307,0.025316700843016637,0.0
3,0.002149692412850307,0.02221007063112327,0.0
4,0.001905901116427433,0.010023923444976091,0.0
5,0.0011950330371383044,0.014330143540669854,0.0
6,0.0,0.00907154249259513,0.0
7,0.0016700843016632493,0.010036454773296876,0.0
8,0.0028673957621326075,0.015037593984962416,0.0
9,0.004297106402369561,0.021722488038277515,0.0
10,0.005730234677603108,0.022689678742310315,0.0
20,0.00047732968785600406,0.01885850991114149,0.0
21,0.00023809523809523725,0.02340282524493051,0.0
24,0.0007177033492823004,0.01695716564137617,0.0
25,0.0031020733652312614,0.021241740715424933,0.0
26,0.002390066074276609,0.026748689906584643,0.0
27,0.0014342674868990713,0.011462747778537247,0.0
28,0.0,0.008835725677830942,0.0
29,0.0004784688995215336,0.006927546138072454,0.0
35,0.004299384825700614,0.021966279334700377,0.0
36,0.003342447026657558,0.017909546593757115,0.0
37,0.0004761904761904745,0.008115743905217594,0.0
38,0.0021508316245158364,0.015287081339712932,0.0
40,0.0026258828890407815,0.018856231487810432,0.0
41,0.0011916154021417158,0.007876509455456832,0.0
50,0.0009546593757120081,0.01384370015948964,0.0
51,0.0016723627249943084,0.02674868990658464,0.0
53,0.0014319890635680122,0.012895876053770794,0.0
54,0.004297106402369566,0.016001367053998638,0.0
55,0.0011950330371383044,0.0035828206880838486,0.0
65,0.004536340852130338,0.01622920938710412,0.0
66,0.0011950330371383044,0.005017088174982909,0.0
68,0.0014319890635680122,0.015043290043290043,0.0
69,0.0023877876509455554,0.01193552061973115,0.0
70,0.0011927546138072453,0.015520619731146046,0.0
71,0.0038186375028480325,0.02125768967874232,0.0
73,0.002147413989519259,0.0183857370699476,0.0
80,0.0002392344497607668,0.01982342219184325,0.0
81,0.00023809523809523725,0.012411711095921618,0.0
82,0.0002392344497607668,0.0059660514923672745,0.0
83,0.0007177033492823004,0.0136101617680565,0.0
84,0.0021508316245158364,0.015521758942811575,0.0
85,0.002870813397129196,0.0260207336523126,0.0
AVG,0.0018534702557258971,0.015770541071292953,0.0
