user_id,sample,keydown,TAP,keyup,TAR,PressureSize
120,8,5,22827066481926,5,22827178649926,0.15686275
120,8,6,22827413145925,6,22827541268925,0.14117648
120,8,0,22827791231925,0,22827935918925,0.13725491
120,8,E,22828216338926,E,22828312293926,0.11764707
120,9,5,22829184658924,5,22829293255925,0.17254902
120,9,5,22829419449926,5,22829531394925,0.17254902
120,9,6,22829672923925,6,22829801612925,0.15294118
120,9,0,22830051255925,0,22830179520925,0.121568635
120,9,E,22830475935925,E,22830555585925,0.11764707
121,0,5,25699002614917,5,25699078987917,0.13725491
121,0,5,25699468568916,5,25699548252916,0.13333334
121,0,6,25701751688916,6,25701795130916,0.13725491
121,0,0,25702184579917,0,25702247724917,0.13725491
121,0,E,25703228025915,E,25703272298917,0.13333334
121,1,5,25704623744912,5,25704700449918,0.14117648
121,1,5,25705120500918,5,25705200184918,0.15294118
121,1,6,25706381588916,6,25706458171916,0.16470589
121,1,0,25706909301916,0,25706972101916,0.15294118
121,1,E,25708448104918,E,25708508048918,0.13725491
121,2,5,25709596534916,5,25709722160916,0.12941177
121,2,5,25710111561916,5,25710223497916,0.13725491
121,2,6,25711761411913,6,25711853983916,0.16470589
121,2,0,25712274295916,0,25712370072916,0.15686275
121,2,E,25713334851917,E,25713427733916,0.16470589
121,3,5,25714795410901,5,25714920824917,0.15294118
121,3,5,25715279118917,5,25715390951917,0.15294118
121,3,6,25716851825912,6,25716943920917,0.15686275
121,3,0,25717457318917,0,25717552871917,0.15294118
121,3,E,25718471228911,E,25718563947916,0.14901961
121,4,5,25719590838917,5,25719700191917,0.15294118
121,4,5,25720042797916,5,25720122111916,0.15294118
121,4,6,25721226112914,6,25721335219918,0.15294118
121,4,0,25721771171916,0,25721850359916,0.16862746
121,4,E,25723171742914,E,25723263937917,0.15686275
121,5,5,25724275037914,5,25724433410917,0.15294118
121,5,5,25724822935917,5,25724983690917,0.15686275
121,5,6,25726042108917,6,25726167759917,0.15294118
121,5,0,25726619099917,0,25726747704917,0.15686275
121,5,E,25727743340927,E,25727885015916,0.15294118
121,6,5,25729314521917,5,25729407020917,0.14509805
121,6,5,25729765347917,5,25729877317917,0.13725491
121,6,6,25731244583917,6,25731337693916,0.15686275
121,6,0,25731804490916,0,25731916289916,0.16078432
121,6,E,25732711205918,E,25732836678918,0.16470589
121,7,5,25734049145914,5,25734158292917,0.16078432
121,7,5,25734579409917,5,25734691567917,0.16862746
121,7,6,25736074194915,6,25736184368917,0.17254902
121,7,0,25736634907917,0,25736763126917,0.16862746
121,7,E,25737821128916,E,25737897776917,0.17254902
121,8,5,25739048201916,5,25739173843916,0.16470589
121,8,5,25739501247917,5,25739629706917,0.16078432
121,8,6,25741105440916,6,25741230837916,0.17254902
121,8,0,25741682361916,0,25741826974916,0.16470589
121,8,E,25742729537917,E,25742838910917,0.16078432
121,9,5,25743881964910,5,25743990589917,0.16862746
121,9,5,25744348618916,5,25744493779916,0.17254902
121,9,6,25745891798907,6,25745984721917,0.16470589
121,9,0,25746451545916,0,25746579675916,0.16470589
121,9,E,25747420779919,E,25747513571917,0.15686275
122,0,5,11987063420985,5,11987140696985,0.19607845
122,0,5,11987282298985,5,11987394326985,0.20392159
122,0,6,11987536026985,6,11987664358985,0.19607845
122,0,0,11987945519985,0,11988057325985,0.21568629
122,0,E,11988790279984,E,11988882916986,0.20392159
122,1,5,11989832566996,5,11989925128984,0.20392159
122,1,5,11990067227984,5,11990178910984,0.21960786
122,1,6,11990320604984,6,11990432571984,0.19607845
122,1,0,11990620669984,0,11990732835984,0.20000002
122,1,E,11990967380984,E,11991128724985,0.21568629
122,2,5,11991706821984,5,11991815806984,0.19607845
122,2,5,11991972520984,5,11992085212984,0.20392159
122,2,6,11992242470984,6,11992338058984,0.20784315
122,2,0,11992526127984,0,11992638305984,0.21568629
122,2,E,11992872792984,E,11993001041984,0.22745100000000001
122,3,5,11993579129984,5,11993688417984,0.22352943
122,3,5,11994000595984,5,11994161892984,0.21176472
