,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
1,0.0004784688995215336,0.9995226730310263,0.9995215311004785,0.017662337662337664,0.9823389021479716,0.9823376623376623,0.08712690817953976,0.9128878281622912,0.91287309182046
2,0.0019104579630895458,0.9980906921241048,0.9980895420369105,0.025316700843016637,0.9747016706443914,0.9746832991569832,0.1589747095010253,0.8410501193317421,0.8410252904989747
3,0.0019093187514240162,0.9980906921241048,0.9980906812485759,0.02221007063112327,0.9778042959427207,0.9777899293688765,0.05420596946912737,0.9458233890214796,0.9457940305308726
4,0.0019059011164274276,0.9980906921241051,0.9980940988835727,0.010023923444976091,0.9899761336515513,0.9899760765550238,0.04296422875370243,0.9570405727923628,0.9570357712462976
5,0.0011950330371383044,0.9988066825775656,0.9988049669628616,0.014330143540669854,0.9856801909307876,0.9856698564593301,0.11576213260423787,0.8842482100238666,0.884237867395762
6,0.0,1.0,1.0,0.00907154249259513,0.9909307875894988,0.9909284575074049,0.049890635680109374,0.9501193317422436,0.9501093643198907
7,0.0011916154021417158,0.9988066825775656,0.9988083845978583,0.010036454773296876,0.9899761336515513,0.989963545226703,0.016000227842333112,0.9840095465393797,0.9839997721576668
8,0.002150831624515842,0.9978520286396181,0.9978491683754841,0.015037593984962416,0.9849642004773269,0.9849624060150376,0.018621553884711782,0.9813842482100238,0.9813784461152883
9,0.004294827979038507,0.9957040572792364,0.9957051720209614,0.021722488038277515,0.9782816229116944,0.9782775119617225,0.07351902483481432,0.9264916467780429,0.9264809751651857
10,0.005252904989747087,0.9947494033412887,0.9947470950102527,0.022689678742310315,0.9773269689737468,0.9773103212576896,0.10931305536568695,0.8906921241050119,0.890686944634313
20,0.0007165641376167709,0.9992840095465393,0.9992834358623831,0.01885850991114149,0.981145584725537,0.9811414900888586,0.04966165413533834,0.9503579952267305,0.9503383458646615
21,0.0007154249259512413,0.9992840095465393,0.9992845750740486,0.02340282524493051,0.9766109785202864,0.9765971747550696,0.15128844839371156,0.8486873508353222,0.8487115516062884
24,0.0004784688995215336,0.9995226730310263,0.9995215311004785,0.01695716564137617,0.983054892601432,0.9830428343586236,0.06852130325814536,0.9315035799522672,0.9314786967418547
25,0.0023866484392800202,0.9976133651551313,0.9976133515607201,0.021241740715424933,0.9787589498806684,0.9787582592845748,0.1671052631578947,0.8329355608591886,0.8328947368421051
26,0.00238778765094555,0.9976133651551313,0.9976122123490544,0.026748689906584643,0.9732696897374702,0.9732513100934155,0.11842447026657554,0.8816229116945108,0.8815755297334246
27,0.0016723627249943084,0.9983293556085918,0.9983276372750055,0.011462747778537247,0.9885441527446301,0.9885372522214627,0.022439052175894276,0.9775656324582339,0.9775609478241059
28,0.0002392344497607668,0.9997613365155132,0.9997607655502392,0.008835725677830942,0.9911694510739858,0.9911642743221689,0.06824333561175666,0.9317422434367542,0.9317566643882433
29,0.0002392344497607668,0.9997613365155132,0.9997607655502392,0.006927546138072454,0.9930787589498807,0.9930724538619276,0.03030986557302347,0.9696897374701671,0.9696901344269765
35,0.004298245614035084,0.9957040572792362,0.995701754385965,0.021966279334700377,0.9780429594272076,0.9780337206652998,0.06683754841649579,0.9331742243436754,0.9331624515835042
36,0.0035816814764183247,0.9964200477326968,0.9964183185235814,0.017909546593757115,0.9821002386634845,0.9820904534062429,0.12077352472089316,0.8792362768496421,0.879226475279107
37,0.0007142857142857118,0.9992840095465395,0.9992857142857142,0.008115743905217594,0.9918854415274463,0.9918842560947823,0.01861471861471862,0.981384248210024,0.9813852813852814
38,0.001671223513328779,0.9983293556085918,0.9983287764866713,0.015287081339712932,0.9847255369928402,0.9847129186602872,0.1291319207108681,0.8708830548926014,0.870868079289132
40,0.002628161312371835,0.9973747016706442,0.9973718386876282,0.018856231487810432,0.9811455847255368,0.9811437685121897,0.09645021645021648,0.9035799522673031,0.9035497835497835
41,0.0009535201640464786,0.9990453460620525,0.9990464798359536,0.007876509455456832,0.9921241050119332,0.9921234905445431,0.016247436773752566,0.9837708830548925,0.9837525632262476
50,0.0009546593757120081,0.9990453460620525,0.999045340624288,0.01384370015948964,0.9861575178997614,0.9861562998405102,0.10907382091592618,0.8909307875894988,0.8909261790840738
51,0.0016723627249943084,0.9983293556085918,0.9983276372750056,0.02674868990658464,0.9732696897374703,0.9732513100934155,0.11312371838687627,0.886873508353222,0.8868762816131237
53,0.0019093187514240162,0.9980906921241048,0.9980906812485759,0.012895876053770794,0.9871121718377088,0.9871041239462294,0.14249601275917062,0.8575178997613367,0.8575039872408293
54,0.004294827979038507,0.9957040572792362,0.9957051720209616,0.016001367053998638,0.9840095465393794,0.9839986329460014,0.09524948735475051,0.9047732696897375,0.9047505126452495
55,0.0011950330371383044,0.9988066825775656,0.9988049669628616,0.0035828206880838486,0.9964200477326969,0.996417179311916,0.018381180223285488,0.9816229116945105,0.9816188197767144
65,0.0052529049897470925,0.9947494033412887,0.9947470950102529,0.01622920938710412,0.9837708830548925,0.9837707906128959,0.06637275005696057,0.9336515513126493,0.9336272499430394
66,0.0014331282752335418,0.9985680190930788,0.9985668717247664,0.005017088174982909,0.9949880668257756,0.9949829118250172,0.04177603098655731,0.9582338902147971,0.9582239690134428
68,0.0019081795397584867,0.9980906921241048,0.9980918204602414,0.015043290043290043,0.9849642004773269,0.98495670995671,0.12482228298017772,0.875178997613365,0.8751777170198223
69,0.0026258828890407928,0.9973747016706443,0.9973741171109591,0.01193552061973115,0.9880668257756564,0.9880644793802688,0.09668147641831852,0.9033412887828162,0.9033185235816814
70,0.0007165641376167709,0.9992840095465393,0.9992834358623831,0.015520619731146046,0.9844868735083532,0.9844793802688537,0.06920141262246524,0.9307875894988067,0.9307985873775347
71,0.003342447026657552,0.9966587112171839,0.9966575529733424,0.02125768967874232,0.9787589498806681,0.9787423103212578,0.07952380952380952,0.9205250596658712,0.9204761904761906
73,0.0038163590795169734,0.9961813842482099,0.9961836409204832,0.0183857370699476,0.9816229116945108,0.9816142629300524,0.06421850079744817,0.935799522673031,0.9357814992025519
80,0.0,1.0,1.0,0.01982342219184325,0.9801909307875896,0.9801765778081568,0.06255411255411256,0.937470167064439,0.9374458874458874
81,0.0007154249259512413,0.9992840095465393,0.9992845750740486,0.012411711095921618,0.9875894988066826,0.9875882889040785,0.017426520847573474,0.9825775656324582,0.9825734791524265
82,0.0002392344497607668,0.9997613365155132,0.9997607655502392,0.0059660514923672745,0.9940334128878282,0.9940339485076326,0.03866940077466393,0.9613365155131266,0.961330599225336
83,0.0007165641376167709,0.9992840095465393,0.9992834358623831,0.0136101617680565,0.9863961813842481,0.9863898382319437,0.10074048758259284,0.8992840095465395,0.8992595124174072
84,0.0019127363864205992,0.9980906921241048,0.9980872636135792,0.015521758942811575,0.9844868735083534,0.9844782410571884,0.12102756892230575,0.8789976133651551,0.8789724310776943
85,0.0026304397357029053,0.9973747016706443,0.9973695602642969,0.0260207336523126,0.9739856801909308,0.9739792663476873,0.1503656869446343,0.8496420047732697,0.8496343130553659
AVG,0.0018644826351593281,0.9981361518354357,0.9981355173648405,0.015770541071292953,0.9842368450960335,0.9842294589287071,0.08005074916729053,0.9199624957381521,0.9199492508327095
