,rf_eer,knn_eer,svm_eer
100,0.0,0.004658385093167683,0.04096018666933812
101,0.0,0.004658385093167683,0.02432712215320909
102,0.0,0.0015527950310558758,0.010351966873705987
103,0.0,0.0020449897750511314,0.009202453987730064
104,0.0,0.003076923076923088,0.004615384615384632
105,0.0005149330587023715,0.0046343975283213434,0.02471678681771372
200,0.0,0.0036045314109166005,0.023686920700308978
201,0.0005208333333333592,0.003124999999999989,0.015625
202,0.0,0.0015447991761071145,0.009268795056642631
203,0.0,0.0,0.014403292181069949
300,0.0,0.005175983436852993,0.009834368530020676
301,0.0005197505197505059,0.006756756756756743,0.07871819920012692
302,0.0005192107995846129,0.006230529595015577,0.03254329800612619
303,0.0,0.001028806584362163,0.0375355962853111
400,0.0005170630816959676,0.00879007238883145,0.040847983453981385
401,0.0,0.0015527950310558758,0.005175983436852993
402,0.0,0.0026096033402922547,0.012526096033402934
403,0.0,0.0031023784901758056,0.01706308169596693
404,0.0,0.006179196704428402,0.007209062821833145
500,0.0,0.00778008298755184,0.023340248962655574
501,0.0,0.003619441571871773,0.010341261633919352
502,0.0,0.004643962848297212,0.005675954592363253
503,0.0005192107995846129,0.0025960539979231756,0.04304596711490998
600,0.0,0.0005144032921810537,0.003600823045267487
601,0.0,0.004658385093167683,0.004140786749482428
602,0.0,0.002049180327868827,0.03171534339421052
603,0.0,0.004149377593360981,0.02074688796680496
604,0.0005154639175257714,0.008762886597938169,0.004123711340206171
605,0.0015495867768595128,0.0030991735537190257,0.02706611570247932
700,0.0005138746145940121,0.008221993833504637,0.04663112149874009
701,0.0,0.002582644628099151,0.029442148760330578
702,0.0,0.002564102564102555,0.013333333333333308
800,0.0,0.00776397515527949,0.004658385093167683
801,0.0,0.0015432098765432167,0.015946502057613166
802,0.0,0.0025693730729701714,0.003083247687564239
900,0.0,0.006694129763130774,0.014418125643666346
1000,0.0,0.0056468172484599455,0.006673511293634471
1001,0.0,0.003080082135523632,0.00924024640657084
1002,0.0,0.0030864197530864335,0.008230452674897137
1003,0.0,0.00519750519750517,0.007796257796257811
1004,0.0,0.006198347107437996,0.018078512396694224
1100,0.0,0.005175983436852993,0.005175983436852993
1101,0.0,0.006701030927835028,0.00927835051546394
1103,0.0,0.003597122302158251,0.00770811921891057
1104,0.0,0.0015592515592515732,0.015846128797936027
1105,0.0,0.0036082474226803996,0.024742268041237137
1200,0.0,0.0010309278350515427,0.0036082474226803996
1201,0.0,0.008307372793354084,0.018172377985462118
1203,0.0,0.004158004158004158,0.006237006237006237
1204,0.0,0.005181347150259086,0.00414507772020728
1300,0.0,0.006166495375128478,0.0071942446043165575
1301,0.0,0.004110996916752319,0.004110996916752319
1302,0.0005165289256198191,0.002582644628099151,0.008780991735537202
1303,0.0,0.0046487603305785385,0.01704545454545453
