,rf_eer,knn_eer,svm_eer
100,0.0,0.005693581780538304,0.15218017431376477
101,0.0,0.00776397515527949,0.09800662024978292
102,0.0005175983436853104,0.005693581780538304,0.0748096573832899
103,0.0005112474437627967,0.007157464212678932,0.06492842535787323
104,0.0,0.014871794871794852,0.024615384615384595
105,0.001029866117404743,0.007209062821833145,0.08084449021627188
200,0.0,0.007723995880535517,0.07180681506338321
201,0.001041666666666663,0.003124999999999989,0.03437499999999999
202,0.002059732234809486,0.005664263645726031,0.04751313940130035
203,0.0005144032921810537,0.006687242798353921,0.0813080660105677
300,0.0,0.006211180124223614,0.0776011403860282
301,0.0,0.008835758835758822,0.17215431372057877
302,0.0,0.006230529595015577,0.06840380511070408
303,0.0005144032921810537,0.008230452674897137,0.09458260450731361
400,0.0005170630816959676,0.009307135470527417,0.08555698285604565
401,0.0005175983436853104,0.00776397515527949,0.07117081580177653
402,0.0,0.012004175365344483,0.10723244891249951
403,0.0020682523267838704,0.006721820062047579,0.13210883473495172
404,0.001029866117404743,0.008238928939237888,0.07981462409886714
500,0.0,0.009854771784232386,0.08243965869908246
501,0.0,0.005170630816959676,0.05325749741468461
502,0.0020639834881320818,0.007223942208462342,0.10083750099229974
503,0.0015576323987538943,0.00674974039460019,0.20189577169335776
600,0.0,0.007716049382716028,0.02770473877077439
601,0.0005175983436853104,0.011387163561076608,0.04533159687437389
602,0.0005122950819672067,0.008709016393442626,0.12842955994791494
603,0.0010373443983402453,0.006742738589211594,0.24655610008599316
604,0.0005154639175257714,0.006701030927835028,0.041237113402061876
605,0.0,0.00981404958677684,0.11668962350780535
700,0.0005138746145940121,0.010791366906474809,0.11011993885674634
701,0.0,0.008264462809917328,0.1900252525252525
702,0.001025641025641011,0.009230769230769209,0.1478503795289146
800,0.0,0.006211180124223614,0.028809148133306615
801,0.0005144032921810537,0.009773662551440354,0.1084034507800566
802,0.0005138746145940121,0.00668036998972249,0.05826868599391697
900,0.0015447991761071145,0.009783728115345003,0.035530381050463467
1000,0.0,0.008726899383983577,0.05841722174921957
1001,0.0,0.007700205338809052,0.09052332181432698
1002,0.001028806584362163,0.005144032921810704,0.09578607089887406
1003,0.0005197505197505059,0.0036382536382536523,0.025467775467775455
1004,0.0015495867768595128,0.011880165289256173,0.24952055252404548
1100,0.0005175983436853104,0.005693581780538304,0.02846790890269152
1101,0.0010309278350515427,0.008247422680412397,0.10043555917651113
1103,0.0020554984583761593,0.0071942446043165575,0.06313145277831397
1104,0.0,0.007796257796257811,0.053864105068924334
1105,0.0,0.010309278350515483,0.14478053574789318
1200,0.0005154639175257714,0.010824742268041254,0.02723506824157934
1201,0.0005192107995846129,0.010384215991692647,0.1349007858156206
1203,0.0015592515592515732,0.007276507276507249,0.06158939291469412
1204,0.0,0.004663212435233155,0.08571055490556578
1300,0.0025693730729701714,0.012846865364850968,0.08331081327831136
1301,0.0,0.00770811921891057,0.009249743062692717
1302,0.0010330578512396937,0.011363636363636354,0.07497406899320774
1303,0.0,0.007747933884297509,0.052169421487603285
