,rf_eer,knn_eer,svm_eer
100,0.0005076142131979489,0.008629441624365464,0.045877950276038366
101,0.0,0.002076843198338507,0.014537902388369661
102,0.0,0.004089979550102263,0.0066462167689161356
103,0.0,0.0025484199796126372,0.011722731906218142
104,0.0,0.0030333670374115274,0.012639029322548012
105,0.0,0.002094240837696326,0.020795490971257588
200,0.001022494887525538,0.005112474437627801,0.01789366053169733
201,0.0,0.005154639175257714,0.018556701030927825
202,0.0,0.0035532994923858086,0.01065989847715737
203,0.001021450459652684,0.007660878447395325,0.03421859039836567
300,0.0,0.005629477993858767,0.009723643807574234
301,0.0,0.011305241521068876,0.04676258992805754
302,0.0,0.0035750766087844776,0.0040858018386108474
303,0.0,0.0030487804878048808,0.0157520325203252
400,0.0,0.006211180124223614,0.03364389233954451
401,0.0,0.0040983606557377095,0.014344262295081955
402,0.0005060728744939458,0.006072874493927127,0.051132417461419895
403,0.0,0.005623721881390598,0.012269938650306733
404,0.0,0.00865580448065173,0.015274949083503075
500,0.0010277492291880796,0.012332990750256956,0.024665981500513856
501,0.0020512820512820773,0.007179487179487187,0.024102564102564117
502,0.0,0.005699481865284961,0.018134715025906745
503,0.0,0.0025614754098360892,0.03592403244887613
600,0.0,0.0020618556701030855,0.013402061855670111
601,0.0,0.004106776180698157,0.020533880903490787
602,0.0,0.004115226337448541,0.013374485596707841
603,0.0,0.00565262076053441,0.03288797533401848
604,0.0,0.004663212435233155,0.015025906735751271
605,0.0005181347150259308,0.003626943005181349,0.026776461880088847
700,0.0,0.006742738589211594,0.02282157676348545
701,0.0010204081632653184,0.008163265306122436,0.08446465542738835
702,0.0,0.008744855967078191,0.012860082304526732
800,0.0005133470225872627,0.00462012320328542,0.005133470225872683
801,0.0,0.003567787971457681,0.006116207951070318
802,0.0,0.0046487603305785385,0.008264462809917328
900,0.0,0.0015306122448979775,0.01683673469387753
1000,0.0,0.005076142131979711,0.05081160170507665
1001,0.0,0.003054989816700604,0.010692464358452114
1002,0.0,0.008264462809917328,0.012913223140495866
1003,0.0,0.002577319587628857,0.01288659793814434
1004,0.0,0.008255933952528383,0.06644874300021994
1100,0.0,0.0092118730808598,0.006653019447287634
1101,0.0005102040816326592,0.007653061224489777,0.01836734693877551
1103,0.0010193679918450438,0.013251783893985736,0.041794087665647295
1104,0.0,0.00668036998972249,0.003083247687564239
1105,0.0,0.00984455958549224,0.00414507772020728
1200,0.0,0.008188331627430934,0.0092118730808598
1201,0.0,0.0005192107995846129,0.026349154987067337
1203,0.0,0.004624871531346331,0.019013360739979446
1204,0.0005102040816326592,0.004591836734693877,0.025510204081632626
1300,0.0,0.003615702479338845,0.010330578512396715
1301,0.0,0.004077471967380231,0.004077471967380231
1302,0.0,0.0040983606557377095,0.006659836065573743
1303,0.0,0.008762886597938169,0.02989690721649485
